property_id,property_name,domain,range,is_functional,description,,,
DP001,hasScientificName,Species_Individual,string,TRUE,The accepted scientific name of the species,,,
DP002,hasCommonName,Species_Individual,string,FALSE,Common or vernacular name(s) of the species,,,
DP003,hasConservationStatus,Species_Individual,string,TRUE,The conservation status (e.g.,Least Concern,Endangered),
DP004,hasDescription,Species_Individual,string,TRUE,General description of the species,,,
DP005,hasElevationRange,Species_Individual,string,TRUE,Typical elevation range where the species is found,,,
DP006,hasHabitat,Species_Individual,string,FALSE,Description of the species' habitat,,,
DP007,hasMaximumHeight,Species_Individual,float,TRUE,Maximum height the species can reach (in meters),,,
DP008,hasMaximumDiameter,Species_Individual,float,TRUE,Maximum diameter the species can reach (in meters),,,
DP009,hasLifespan,Species_Individual,integer,TRUE,Typical lifespan of the species (in years),,,
DP010,hasGrowthForm,Species_Individual,string,TRUE,Growth form (tree,shrub,herb,etc.)
DP011,hasLeafType,Species_Individual,string,TRUE,Type of leaf (simple,compound,etc.),
DP012,isDeciduousEvergreen,Species_Individual,string,TRUE,Whether the species is deciduous or evergreen,,,
DP013,hasFlowerColor,Species_Individual,string,FALSE,Color(s) of the species' flowers,,,
DP014,hasFruitType,Species_Individual,string,TRUE,Type of fruit produced by the species,,,
DP015,hasCountryArea,Country,float,TRUE,Total area of the country in square kilometers,,,
DP016,hasBiomeArea,Biome,float,TRUE,Total global area of the biome in square kilometers,,,
DP017,hasEcoregionArea,Ecoregion,float,TRUE,Total area of the ecoregion in square kilometers,,,
DP018,hasConservationPriority,Ecoregion,string,TRUE,Conservation priority level (low,medium,high,critical)
DP019,hasCountryPopulation,Country,integer,TRUE,Human population of the country,,,
DP020,hasEndemicSpeciesCount,Ecoregion,integer,TRUE,Number of endemic species in the ecoregion,,,